2025-12-09 12:25:16 | Offer selected and view incremented | {"offer_id":3,"cap":65,"current_views":63,"offer_name":"bambulab.com OP US","affiliate_link":"https://api.yieldads.net/redirect?publisherId=0eebb6270acd447b&market=us&target=bambulab.com","country":"US","affiliate_program_id":1,"website_id":1,"fill_percent":0.9692307692307692}
2025-12-09 12:25:16 | Buffer selected | {"id":1,"buffer_url":"t.co/hRM2vNRhdZ"}
2025-12-09 12:25:16 | Affiliate URL generated | "https://api.yieldads.net/redirect?publisherId=0eebb6270acd447b&market=us&target=bambulab.com&publisherId=cid6938152c1c0ec6.32061650"
2025-12-09 12:25:16 | Click logged | "cid6938152c1c0ec6.32061650"
2025-12-09 12:25:16 | Redirecting to affiliate URL | "https://api.yieldads.net/redirect?publisherId=0eebb6270acd447b&market=us&target=bambulab.com&publisherId=cid6938152c1c0ec6.32061650"
2025-12-09 12:29:46 | GET parameters received | {"cid":"1","clickid":"1022235204519211101","campaignid":"10194669","country":"US","os":"ios","browser":"safari","connection_type":"mobile","isp":"verizon usa","carrier":"verizon-us","zoneid":"6786568","cost":"0.000470"}
2025-12-09 12:29:46 | Mapped campaign country code | "us"
2025-12-09 12:29:46 | Visitor country code matched | {"visitor":"us"}
2025-12-09 12:29:46 | Offer selected and view incremented | {"offer_id":3,"cap":65,"current_views":64,"offer_name":"bambulab.com OP US","affiliate_link":"https://api.yieldads.net/redirect?publisherId=0eebb6270acd447b&market=us&target=bambulab.com","country":"US","affiliate_program_id":1,"website_id":1,"fill_percent":0.9846153846153847}
2025-12-09 12:29:46 | Buffer selected | {"id":1,"buffer_url":"t.co/hRM2vNRhdZ"}
2025-12-09 12:29:46 | Affiliate URL generated | "https://api.yieldads.net/redirect?publisherId=0eebb6270acd447b&market=us&target=bambulab.com&publisherId=cid6938163a143817.57038358"
2025-12-09 12:29:46 | Click logged | "cid6938163a143817.57038358"
2025-12-09 12:29:46 | Redirecting to affiliate URL | "https://api.yieldads.net/redirect?publisherId=0eebb6270acd447b&market=us&target=bambulab.com&publisherId=cid6938163a143817.57038358"
2025-12-09 12:29:54 | GET parameters received | {"cid":"1","clickid":"1022235233329886629","campaignid":"10194669","country":"US","os":"ios","browser":"google_search_app","connection_type":"mobile","isp":"t-mobile usa inc.","carrier":"t-mobile-us","zoneid":"9249794","cost":"0.000470"}
2025-12-09 12:29:54 | Mapped campaign country code | "us"
2025-12-09 12:29:54 | Visitor country code matched | {"visitor":"us"}
2025-12-09 12:29:54 | All offers capped | 1
2025-12-09 12:29:54 | Traffic source campaign pause attempt | {"traffic_source_id":1,"external_campaign_id":[10194669],"result":true}
2025-12-09 12:29:54 | Stop request returned failure or partial failure | true
2025-12-09 13:40:57 | GET parameters received | {"cid":"3","clickid":"${SUBID}","campaignid":"{campaignid}","country":"us}","os":"{os}","browser":"{browser}","connection_type":"{connection.type}","isp":"{isp}","carrier":"{carrier}","zoneid":"{zoneid}","cost":"{cost}"}
2025-12-09 13:40:57 | Mapped campaign country code | "us"
2025-12-09 13:40:57 | Visitor country mismatch | {"visitor":"us}","campaign":"us","allowed":["us"]}
